hi Parisa
         8087408 function calls (7989965 primitive calls) in 1849.719 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:186(c_int)
       10    0.000    0.000    0.000    0.000 __init__.py:1872(get_metadata_lines)
        1    0.000    0.000    0.000    0.000 __init__.py:1876(PathMetadata)
      378    0.000    0.000    0.000    0.000 __init__.py:189(bind_method)
       68    0.000    0.000    0.000    0.000 __init__.py:1896(__init__)
        2    0.000    0.000    0.004    0.002 __init__.py:19(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:190(c_uint)
        1    0.000    0.000    0.000    0.000 __init__.py:1901(EggMetadata)
        3    0.000    0.000    0.000    0.000 __init__.py:1917(register_finder)
       22    0.000    0.000    0.001    0.000 __init__.py:1927(find_distributions)
        1    0.000    0.000    0.000    0.000 __init__.py:194(SetuptoolsVersion)
        1    0.000    0.000    0.000    0.000 __init__.py:194(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:195(UTC)
        2    0.000    0.000    0.000    0.000 __init__.py:1955(find_nothing)
       98    0.001    0.000    0.008    0.000 __init__.py:1959(find_on_path)
        1    0.000    0.000    0.000    0.000 __init__.py:198(SetuptoolsLegacyVersion)
        1    0.000    0.000    0.000    0.000 __init__.py:198(c_double)
        3    0.000    0.000    0.002    0.001 __init__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:20(UnsortedIndexError)
       10    0.000    0.000    0.353    0.035 __init__.py:20(import_module)
        3    0.000    0.000    0.000    0.000 __init__.py:2008(register_namespace_handler)
        1    0.000    0.000    0.000    0.000 __init__.py:202(c_longdouble)
       18    0.000    0.000    0.001    0.000 __init__.py:2025(_handle_ns)
       52    0.000    0.000    0.000    0.000 __init__.py:205(_acquireLock)
        2    0.000    0.000    0.000    0.000 __init__.py:2070(declare_namespace)
       36    0.000    0.000    0.000    0.000 __init__.py:2102(fixup_namespace_packages)
        4    0.000    0.000    0.000    0.000 __init__.py:212(_declare_state)
       10    0.000    0.000    0.000    0.000 __init__.py:2138(normalize_path)
       52    0.000    0.000    0.000    0.000 __init__.py:214(_releaseLock)
      380    0.000    0.000    0.000    0.000 __init__.py:2142(_normalize_cached)
       28    0.000    0.000    0.000    0.000 __init__.py:2149(_is_unpacked_egg)
       83    0.000    0.000    0.000    0.000 __init__.py:2165(yield_lines)
        1    0.000    0.000    0.000    0.000 __init__.py:2193(EntryPoint)
      259    0.000    0.000    0.000    0.000 __init__.py:22(find_module)
        1    0.001    0.001    0.004    0.004 __init__.py:220(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:223(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:225(LogRecord)
        1    0.001    0.001    0.005    0.005 __init__.py:228(<module>)
        4    0.000    0.000    0.001    0.000 __init__.py:228(_is_writable_dir)
        1    0.001    0.001    0.291    0.291 __init__.py:23(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:230(c_byte)
       20    0.000    0.000    0.002    0.000 __init__.py:2328(_version_from_file)
